"","length","GCcomp","trans_tbl","circular","CRISPR_hit","Genus","Species","Health_status","Location","tRNA_freq","tmRNA_freq","Study","Habitat","family","nomen_family","nomen_subfamily","nomen_genus","nomen_species","type_strain","clusters_ward","clusters_pam","orthologs_shared_clusters","ani_clusters"
"3300008513_____ga0111022_100102",99674,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","coli",FALSE,11,4,1,35
"3300008513_____ga0111022_100109",96923,0.32,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","gastrointestinalis",FALSE,4,13,36,36
"3300008520_____ga0111044_100220",99645,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"3300008523_____ga0115231_1000091",96608,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"3300008705_____ga0113869_1000095",100570,0.335,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10
"3300008716_____ga0113874_100156",97656,0.328,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"3300008716_____ga0113874_100160",96395,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"3300008725_____ga0115670_1000139",104360,0.332,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","hiberniae",FALSE,7,7,8,16
"3300008737_____ga0113999_100109",101070,0.325,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"3300013752_____ga0117817_1000004",100050,0.316,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","coli",FALSE,11,4,1,35
"3300013899_____ga0117808_100015",98537,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"3300013946_____ga0117818_1000018",88659,0.316,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"3300014547_____ga0134415_100047",98472,0.357,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,22,1,"IMGVR","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","copri",FALSE,6,9,40,44
"3300014553_____ga0134451_100057",99871,0.313,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","coli",FALSE,11,4,1,35
"3300014712_____ga0134412_100037",89392,0.318,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"3300014744_____ga0134393_100057",90648,0.315,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"3300014788_____ga0134381_1000061",96455,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"3300014919_____ga0169798_100120",96761,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"3300014921_____ga0169822_100099",99933,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"3300014936_____ga0169833_100099",92839,0.318,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"3300014944_____ga0134440_100138",92184,0.319,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"3300014963_____ga0134523_1000562",86906,0.251,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Endlipuvirus","intestinihominis",FALSE,3,3,28,17
"3300014971_____ga0134442_1000062",97047,0.29,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"4_lib200738_4",99001,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Lewis_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"5_lib200737_3",97728,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Lewis_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"a1_node_2_length_99974_cov_261.284550",99974,0.334,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10
"a2_node_3_length_92367_cov_12.069243",92367,0.316,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,0,"Stockdale_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Diorhovirus","copri",TRUE,3,3,25,49
"b7_node_1_length_96266_cov_47.336375",96266,0.321,11,TRUE,"Bacteroides_thetaiotaomicron","Bacteroides","thetaiotaomicron",NA,NA,0,0,"Stockdale_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","intestinalis",FALSE,4,13,36,54
"c12_node_4_length_93683_cov_7.991701",93683,0.318,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Culoivirus","intestinalis",FALSE,10,8,21,55
"cf1_ms_1",98855,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Stockdale_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"cs_crass_ms_9",93564,0.358,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,21,0,"Shkoporov_etal_2018","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","copri",TRUE,6,9,40,44
"cygl01000011",97402,0.32,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,NA,NA,"Yutin_etal_unpublished_cMAG",NA,"Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","gastrointestinalis",FALSE,4,13,36,36
"e11_node_1_length_96694_cov_1258.521291",96694,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"e12_node_1_length_99984_cov_69.391838",99984,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",TRUE,10,12,20,30
"em181_t3_ms_1",97536,0.32,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Stockdale_etal_2018","Human gut","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","intestinalis",TRUE,4,13,36,54
"em195_t0_ms_1",98920,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Stockdale_etal_2018","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"em200_t3_ms_2",78032,0.317,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Stockdale_etal_2018","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"em210_t0_ms_1",97529,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Stockdale_etal_2018","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"em245_t3_ms_3",98041,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Stockdale_etal_2018","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"err1474586_node_12_length_98573_cov_38.9867",98573,0.331,15,TRUE,"Prevotella_melaninogenica","Prevotella","melaninogenica",NA,NA,5,0,NA,"Human oral","Deltacrassviridae","Suoliviridae","Oafivirinae","Bohxovirus","oralis",TRUE,8,11,12,61
"err589440_node_121_length_98649_cov_14.7648",98649,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589443_node_109_length_97897_cov_28.0204",97897,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589503_node_236_length_100385_cov_32.3335",100385,0.329,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"err589503_node_243_length_99288_cov_256.502",99288,0.336,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10
"err589503_node_260_length_95985_cov_44.2112",95985,0.327,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"err589508_node_269_length_100215_cov_352.186",100215,0.329,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"err589509_node_117_length_99450_cov_1258.73",99450,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589511_node_212_length_96153_cov_11.9872",96153,0.33,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"err589512_node_245_length_104299_cov_30.5927",104299,0.333,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","hiberniae",FALSE,7,7,8,16
"err589512_node_279_length_97295_cov_607.21",97295,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589512_node_313_length_91996_cov_59.3944",91996,0.316,11,TRUE,"Alistipes_finegoldii","Alistipes","finegoldii",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"err589530_node_123_length_101106_cov_84.032",101106,0.328,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23
"err589531_node_142_length_100626_cov_28.4295",100626,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,2,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12
"err589531_node_143_length_100354_cov_37.9907",100354,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"err589532_node_103_length_94606_cov_18.1916",94606,0.334,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"err589532_node_107_length_92376_cov_180.077",92376,0.316,11,TRUE,"Alistipes_finegoldii","Alistipes","finegoldii",NA,NA,4,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"err589534_node_206_length_99607_cov_6.90286",99607,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,2,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"err589535_node_102_length_100207_cov_5.55539",100207,0.336,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10
"err589544_node_118_length_99073_cov_42.2977",99073,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"err589544_node_125_length_95272_cov_31.2325",95272,0.323,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","gastrointestinalis",FALSE,4,13,36,36
"err589548_node_125_length_99181_cov_12.0749",99181,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30
"err589548_node_133_length_97812_cov_182.454",97812,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589553_node_133_length_100933_cov_7.87827",100933,0.337,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","faecalis",FALSE,10,8,22,77
"err589556_node_251_length_91714_cov_17.3214",91714,0.317,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13
"err589556_node_264_length_89939_cov_50.5214",89939,0.265,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Dabirmavirus","hominis",FALSE,3,3,26,9
"err589557_node_190_length_93533_cov_205.404",93533,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589574_node_223_length_98544_cov_57.8223",98544,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Tong_etal_2020","Human oral","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5
"err589587_node_208_length_94701_cov_61.0326",94701,0.331,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2
"err589589_node_144_length_94594_cov_10.8503",94594,0.308,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Tong_etal_2020","Human oral","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","copri",FALSE,2,1,37,25
"err589590_node_63_length_103443_cov_7.99528",103443,0.333,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,1,"Tong_etal_2020","Human oral","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","oralis",FALSE,7,7,8,82
