"","length","GCcomp","trans_tbl","circular","CRISPR_hit","Genus","Species","Health_status","Location","tRNA_freq","tmRNA_freq","Study","Habitat","family","nomen_family","nomen_subfamily","nomen_genus","nomen_species","type_strain","clusters_ward","clusters_pam","orthologs_shared_clusters","ani_clusters","ncbi_acc","exemplar"
"3300007098_____Ga0102540_100090",99632,0.333,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","hiberniae",FALSE,7,7,8,16,NA,NA
"3300007105_____Ga0102630_100105",96419,0.332,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"3300007138_____Ga0102649_100039",100311,0.331,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Blohavirus",NA,FALSE,7,7,9,15,NA,NA
"3300007210_____Ga0103359_100138",100492,0.333,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10,NA,NA
"3300007222_____Ga0104061_100253",88754,0.252,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Endlipuvirus","intestinihominis",FALSE,3,3,28,17,NA,NA
"3300007296_____Ga0104830_100137",95469,0.328,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"3300007298_____Ga0104838_100088",98560,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"3300007298_____Ga0104838_100096",94455,0.327,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"3300007312_____Ga0104941_100065",104528,0.364,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,22,0,"IMGVR","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Lebriduvirus","gastrointestinalis",FALSE,6,9,43,18,NA,NA
"3300007312_____Ga0104941_100072",102036,0.325,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Birpovirus","hominis",FALSE,12,10,4,19,NA,NA
"3300007362_____Ga0104788_100129",91980,0.303,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Delmidovirus",NA,FALSE,3,3,24,14,NA,NA
"3300007524_____Ga0105481_1000121",99731,0.323,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Culoivirus",NA,FALSE,10,8,21,20,NA,NA
"3300007524_____Ga0105481_1000124",98073,0.327,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Blohavirus",NA,FALSE,7,7,9,21,NA,NA
"3300007524_____Ga0105481_1000141",91988,0.304,11,TRUE,"Bacteroides_fragilis","Bacteroides","fragilis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Delmidovirus",NA,FALSE,3,3,24,14,NA,NA
"3300007669_____Ga0105546_100127",90934,0.323,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Delmidovirus",NA,FALSE,3,3,24,22,NA,NA
"3300007705_____Ga0105636_100113",98293,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"3300007714_____Ga0105661_1000061",101342,0.328,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23,NA,NA
"3300007714_____Ga0105661_1000069",96180,0.29,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"3300007796_____Ga0105889_100147",93169,0.327,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"3300007797_____Ga0105663_100162",94651,0.333,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,0,"IMGVR","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Mahlunavirus",NA,FALSE,6,9,49,24,NA,NA
"3300007804_____Ga0105665_100100",97478,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","intestinihominis",FALSE,11,4,1,12,NA,NA
"3300007806_____Ga0105890_100137",90950,0.25,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Endlipuvirus","intestinihominis",FALSE,3,3,28,17,NA,NA
"3300007853_____Ga0114093_100213",93843,0.308,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","copri",FALSE,2,1,37,25,NA,NA
"3300007921_____Ga0111562_100099",93867,0.327,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"3300007991_____Ga0105643_100224",97685,0.327,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23,NA,NA
"3300008098_____Ga0114255_100096",97175,0.32,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,1,"IMGVR","Human oral","Deltacrassviridae","Suoliviridae","Oafivirinae","Bohxovirus",NA,FALSE,8,11,12,26,NA,NA
"3300008100_____Ga0114174_100025",94452,0.322,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buorbuivirus",NA,FALSE,7,7,10,27,NA,NA
"3300008101_____Ga0114024_100210",101977,0.335,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10,NA,NA
"3300008101_____Ga0114024_100218",99767,0.332,15,TRUE,"Bacteroides_thetaiotaomicron","Bacteroides","thetaiotaomicron",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus",NA,FALSE,7,7,8,28,NA,NA
"3300008103_____Ga0114180_100162",102810,0.361,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus","intestinihominis",FALSE,8,5,11,29,NA,NA
"3300008103_____Ga0114180_100183",95906,0.325,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
"3300008132_____Ga0111230_1000069",93534,0.333,11,TRUE,"Odoribacter_splanchnicus","Odoribacter","splanchnicus",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"3300008268_____Ga0111491_1000143",92918,0.303,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Diorhovirus",NA,FALSE,3,3,25,31,NA,NA
"3300008272_____Ga0111092_1000191",95247,0.321,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buorbuivirus",NA,FALSE,7,7,10,32,NA,NA
"3300008299_____Ga0114868_1000151",92667,0.318,11,TRUE,"Alistipes_finegoldii","Alistipes","finegoldii",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"3300008326_____Ga0115311_100028",94924,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"3300008360_____Ga0114875_1000146",100899,0.328,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23,NA,NA
"3300008361_____Ga0115082_100173",91904,0.323,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buorbuivirus",NA,FALSE,7,7,10,33,NA,NA
"3300008479_____Ga0114883_1000174",95703,0.322,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buorbuivirus",NA,FALSE,7,7,10,33,NA,NA
"3300008479_____Ga0114883_1000181",94500,0.334,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Coarsevirinae","Junduvirus","communis",FALSE,2,1,37,2,NA,NA
"3300008497_____Ga0111011_100058",98346,0.309,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,21,0,"IMGVR","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Paundivirus",NA,FALSE,6,9,58,34,NA,NA
"3300008497_____Ga0111011_100059",97203,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
"3300008513_____Ga0111022_100102",99674,0.314,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","coli",FALSE,11,4,1,35,NA,NA
"3300008513_____Ga0111022_100109",96923,0.32,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","gastrointestinalis",FALSE,4,13,36,36,NA,NA
"3300008520_____Ga0111044_100220",99645,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
"3300008523_____Ga0115231_1000091",96608,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"3300008523_____Ga0115231_1000095",93730,0.303,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Obtuvirinae","Fohxhuevirus",NA,FALSE,9,3,31,37,NA,NA
"3300008561_____Ga0111060_100089",98314,0.355,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,24,0,"IMGVR","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Kehishuvirus",NA,FALSE,6,9,41,38,NA,NA
"3300008705_____Ga0113869_1000095",100570,0.335,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10,NA,NA
"3300008712_____Ga0113873_100125",99717,0.311,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus",NA,FALSE,11,4,1,39,NA,NA
"3300008716_____Ga0113874_100156",97656,0.328,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus","hiberniae",FALSE,12,10,2,23,NA,NA
"3300008716_____Ga0113874_100160",96395,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"3300008725_____Ga0115670_1000139",104360,0.332,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus","hiberniae",FALSE,7,7,8,16,NA,NA
"3300008737_____Ga0113999_100109",101070,0.325,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
"3300011980_____Ga0119777_1000092",96437,0.324,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,5,0,"IMGVR","Human oral","Deltacrassviridae","Suoliviridae","Oafivirinae","Ceneivirus",NA,FALSE,8,11,15,40,NA,NA
"3300013752_____Ga0117817_1000004",100050,0.316,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","coli",FALSE,11,4,1,35,NA,NA
"3300013899_____Ga0117808_100015",98537,0.291,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"3300013946_____Ga0117818_1000018",88659,0.316,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"3300014536_____Ga0134370_100043",100660,0.327,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Blohavirus",NA,FALSE,7,7,9,21,NA,NA
"3300014537_____Ga0134397_100086",98443,0.312,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus",NA,FALSE,11,4,1,41,NA,NA
"3300014538_____Ga0134452_100100",98516,0.328,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Aurodevirus",NA,FALSE,12,10,2,42,NA,NA
"3300014541_____Ga0134391_100054",104772,0.353,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,24,0,"IMGVR","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Lebriduvirus",NA,FALSE,6,9,43,43,NA,NA
"3300014547_____Ga0134415_100047",98472,0.357,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,22,1,"IMGVR","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","copri",FALSE,6,9,40,44,NA,NA
"3300014553_____Ga0134451_100057",99871,0.313,15,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Bearivirinae","Afonbuvirus","coli",FALSE,11,4,1,35,NA,NA
"3300014712_____Ga0134412_100037",89392,0.318,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"3300014744_____Ga0134393_100057",90648,0.315,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"3300014750_____Ga0134554_100011",103348,0.365,15,TRUE,"Eubacterium_eligens","Eubacterium","eligens",NA,NA,3,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Oafivirinae","Burzaovirus",NA,FALSE,8,5,11,45,NA,NA
"3300014761_____Ga0134438_100058",104338,0.347,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Loutivirinae","Buchavirus",NA,FALSE,7,7,8,46,NA,NA
"3300014788_____Ga0134381_1000049",103550,0.324,15,TRUE,"Unknown","Unknown","Unknown",NA,NA,1,0,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Uncouvirinae","Birpovirus",NA,FALSE,12,10,4,47,NA,NA
"3300014788_____Ga0134381_1000061",96455,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"3300014919_____Ga0169798_100120",96761,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
"3300014921_____Ga0169822_100099",99933,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"IMGVR","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
"3300014936_____Ga0169833_100099",92839,0.318,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"3300014944_____Ga0134440_100138",92184,0.319,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"3300014951_____Ga0169829_100159",90283,0.32,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus",NA,FALSE,4,13,36,48,NA,NA
"3300014963_____Ga0134523_1000562",86906,0.251,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Endlipuvirus","intestinihominis",FALSE,3,3,28,17,NA,NA
"3300014971_____Ga0134442_1000062",97047,0.29,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"IMGVR","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"4_lib200738_4",99001,0.292,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,0,0,"Lewis_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"5_lib200737_3",97728,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Lewis_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"A1_NODE_2_length_99974_cov_261.284550",99974,0.334,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Canhaevirus","hiberniae",FALSE,10,8,22,10,NA,NA
"A2_NODE_3_length_92367_cov_12.069243",92367,0.316,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,4,0,"Stockdale_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Diorhovirus","copri",TRUE,3,3,25,49,"MZ130474","uncultured phage cr49_1"
"B7_NODE_1_length_96266_cov_47.336375",96266,0.321,11,TRUE,"Bacteroides_thetaiotaomicron","Bacteroides","thetaiotaomicron",NA,NA,0,0,"Stockdale_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","intestinalis",FALSE,4,13,36,54,NA,NA
"C12_NODE_4_length_93683_cov_7.991701",93683,0.318,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,2,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Culoivirus","intestinalis",FALSE,10,8,21,55,NA,NA
"CF1_ms_1",98855,0.292,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei","CF","Ireland",0,0,"Stockdale_etal_unpublished","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"CS_crAss_ms_9",93564,0.358,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,21,0,"Shkoporov_etal_2018","Human gut","Betacrassviridae","Steigviridae","Asinivirinae","Kahnovirus","copri",TRUE,6,9,40,44,"MZ130483","uncultured phage cr44_1"
"CYGL01000011",97402,0.32,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,NA,NA,"Yutin_etal_unpublished_cMAG",NA,"Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","gastrointestinalis",FALSE,4,13,36,36,NA,NA
"E11_NODE_1_length_96694_cov_1258.521291",96694,0.326,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
"E12_NODE_1_length_99984_cov_69.391838",99984,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Stockdale_etal_unpublished","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",TRUE,10,12,20,30,"MZ130475","uncultured phage cr30_1"
"EM181_T3_ms_1",97536,0.32,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,0,0,"Stockdale_etal_2018","Human gut","Alphacrassviridae","Intestiviridae","Churivirinae","Jahgtovirus","intestinalis",TRUE,4,13,36,54,"MZ130484","uncultured phage cr54_1"
"EM195_T0_ms_1",98920,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Stockdale_etal_2018","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"EM200_T3_ms_2",78032,0.317,11,TRUE,"Unknown","Unknown","Unknown",NA,NA,3,0,"Stockdale_etal_2018","Human gut","Gammacrassviridae","Crevaviridae","Doltivirinae","Kingevirus","communis",FALSE,5,6,39,13,NA,NA
"EM210_T0_ms_1",97529,0.291,11,TRUE,"Bacteroides_dorei","Bacteroides","dorei",NA,NA,0,0,"Stockdale_etal_2018","Human gut","Alphacrassviridae","Intestiviridae","Crudevirinae","Carjivirus","communis",FALSE,1,2,23,5,NA,NA
"EM245_T3_ms_3",98041,0.327,11,TRUE,"Parabacteroides_distasonis","Parabacteroides","distasonis",NA,NA,1,1,"Stockdale_etal_2018","Human gut","Deltacrassviridae","Suoliviridae","Boorivirinae","Cohcovirus","splanchnicus",FALSE,10,12,20,30,NA,NA
