"","Gp20"
"296","Monaco_MBA4038_NODE_5_length_99783_cov_26.247343_94"
"297","NG-14253_11xxx_lib223957_5684_NODE_2_length_92241_cov_49.26_4"
"298","NG-14253_14_lib223986_5684_NODE_3_length_83015_cov_1213.7_17"
"299","NG-14253_26_lib223959_5684_NODE_2_length_90827_cov_49.5933_65"
"300","NG-14253_46_lib223980_5684_NODE_2_length_100107_cov_117.472_34"
"301","NG-14253_56xxx_lib223972_5684_NODE_1_length_101680_cov_95.3006_87"
"302","NG-14253_9_lib223974_5684_NODE_4_length_59928_cov_398.525_25"
"303","NG-14571_115xxx_NODE_1_length_101130_cov_1132.63_77"
"304","NG-14571_61_NODE_1_length_99321_cov_39.0978_9"
"305","NG-14571_65_NODE_2_length_99098_cov_10.9013_25"
"306","NG-14571_65_NODE_5_length_90560_cov_40.8849_56"
"307","NG-14571_83xxx_NODE_1_length_100314_cov_1329.85_87"
"308","NG-14571_96_NODE_2_length_96466_cov_151.499_26"
"309","NG-15813_44_lib254059_NODE_1_length_93391_cov_9.27449_78"
"310","NG-15813_53_lib254058_NODE_2_length_98001_cov_18.457_82"
"311","NG-15813_95_lib254056_NODE_1_length_102100_cov_1588.91_24"
"312","NG-16262_31_lib261986_NODE_2_length_99704_cov_87.7682_37"
"313","NODE_14_length_91830_cov_15.741215_15"
"314","NODE_27_length_98043_cov_23.463220_58"
"315","OATA01000153_103"
"316","OATI01000137_8"
"317","OAUB01000058_84"
"318","OAUH01000043_85"
"319","OAVV01000098_6"
"320","OAVV01000102_26"
"321","OAWB01000083_2"
"322","OBAE01000091_91"
"323","OBAE01000105_67"
"324","OBAG01000123_21"
"325","OBAH01000076_87"
"326","OBAQ01000124_36"
"327","OBAR01000155_80"
"328","OBCT01000057_66"
"329","OBJF01000120_78"
"330","OBJF01000128_44"
"331","OBJP01000067_14"
"332","OBJP01000075_17"
"333","OBJQ01000077_96"
"334","OBJQ01000079_47"
"335","OBKI01000059_11"
"336","OBKN01000015_6"
"337","OBKN01000017_35"
"338","OBLG01000146_11"
"339","OBUX01000069_82"
"340","OBVI01000054_23"
"341","OBWJ01000082_23"
"342","OBWJ01000088_59"
"343","OBWV01000111_82"
"344","OBXZ01000146_77"
"345","OBYQ01000140_28"
"346","OBZD01000096_16"
"347","OCHF01000043_56"
"348","OCHG01000105_32"
"349","OCHL01000111_91"
"350","OCHM01000051_58"
"351","OCHV01000088_22"
"352","OCLB01000002_16"
"353","OCLC01000020_24"
"354","OCLL01000003_58"
"355","OCMA01000041_80"
"356","OCPX01000081_81"
"357","OCRP01000110_62"
"358","OEIM01000003_10"
"359","OFLY01000041_75"
"360","OFMB01000041_72"
"361","OFME01000049_15"
"362","OFMN01000076_71"
"363","OFMO01000072_42"
"364","OFMP01000048_30"
"365","OFMQ01000046_81"
"366","OFMS01000042_61"
"367","OFMT01000069_52"
"368","OFMT01000073_59"
"369","OFMV01000048_35"
"370","OFRY01000044_76"
"371","OFRY01000048_16"
"372","OFRY01000050_77"
"373","OFRZ01000076_77"
"374","OFSC01000046_71"
"375","OFSD01000058_9"
"376","OGCM01000239_68"
"377","OGCO01000213_13"
"378","OGCO01000246_71"
"379","OGOH01000022_16"
"380","OGOI01000071_68"
"381","OGOJ01000065_66"
"382","OGOL01000109_19"
"383","OGOO01000132_19"
"384","OGOQ01000098_81"
"385","OGPM01000085_36"
"386","OGPN01000023_19"
"387","OGPX01000023_63"
"388","OGPX01000026_14"
"389","OGPZ01000054_66"
"390","OGPZ01000072_66"
"391","OGQI01000045_43"
"392","OGQQ01000082_24"
"393","OGQX01000099_93"
"394","OGRD01000043_5"
"395","OGRG01000096_77"
"396","OGRG01000107_4"
"397","OGRK01000094_86"
"398","OGRL01000078_74"
"399","OGRO01000082_81"
"400","OGSS01000127_68"
"401","OGTB01000054_62"
"402","OGTB01000055_13"
"403","OGTL01000065_45"
"404","OGTL01000073_17"
"405","OGUN01000050_64"
"406","OGWR01000033_86"
"407","OGWS01000068_92"
"408","OGWT01000016_73"
"409","OGWZ01000097_29"
"410","OGXF01000053_50"
"411","OGXI01000029_47"
"412","OGXT01000133_86"
"413","OGXX01000055_48"
"414","OGYC01000074_53"
"415","OGYD01000027_30"
"416","OGYD01000028_92"
"417","OGYF01000089_84"
"418","OGYG01000098_84"
"419","OGYN01000044_50"
"420","OGZA01000030_67"
"421","OGZA01000036_38"
"422","OGZD01000102_70"
"423","OGZO01000002_74"
"424","OHAB01000087_70"
"425","OHAD01000101_15"
"426","OHAF01000067_34"
"427","OHAS01000014_70"
"428","OHAT01000070_32"
"429","OHAU01000141_17"
"430","OHAY01000065_5"
"431","OHBE01000089_86"
"432","OHBM01000040_74"
"433","OHCF01000051_31"
"434","OHJU01000015_21"
"435","OHJX01000034_12"
"436","OHKD01000031_79"
"437","OHKK01000062_11"
"438","OHLF01000025_49"
"439","OHPM01000044_57"
"440","OHQM01000028_78"
"441","OHTD01000013_11"
"442","OHTF01000018_55"
"443","OHUR01000026_22"
"444","OHUS01000015_104"
"445","OHWI01000045_65"
"446","OHXQ01000012_41"
"447","OICB01000025_85"
"448","OICK01000023_66"
"449","OIEC01000013_30"
"450","OIHW01000011_55"
"451","OIIS01000010_50"
"452","OIJJ01000006_72"
"453","OIRC01000027_22"
"454","OIWL01000154_71"
"455","OIWL01000160_72"
"456","OIWM01000114_51"
"457","OIWS01000142_110"
"458","OIWS01000145_82"
"459","OIWT01000163_19"
"460","OIWV01000054_15"
"461","OIWV01000065_18"
"462","OIXA01000142_20"
"463","OIXG01000120_19"
"464","OIXH01000107_5"
"465","OIXH01000142_16"
"466","OIXJ01000001_22"
"467","OIXR01000085_17"
"468","OIYR01000021_71"
"469","OIYV01000031_100"
"470","OIZB01000074_73"
"471","OIZP01000035_49"
"472","OJAG01000039_83"
"473","OJAR01000005_72"
"474","OJAW01000043_58"
"475","OJMH01000169_30"
"476","OJML01000021_87"
"477","OJMP01000066_42"
"478","OJMP01000070_79"
"479","OJNH01000048_72"
"480","OJNH01000053_47"
"481","OJNL01000044_19"
"482","OJNQ01000029_44"
"483","OJNS01000048_34"
"484","OJOA01000027_28"
"485","OJOV01000080_10"
"486","OJPC01000037_81"
"487","OJPT01000035_94"
"488","OJPW01000082_36"
"489","OJQF01000018_76"
"490","OJQL01000115_16"
"491","OJRV01000117_67"
"492","OJSE01000155_86"
"493","OKRV01000012_55"
"494","OKRV01000014_72"
"495","OKRW01000057_18"
"496","OKRW01000064_80"
"497","OKSB01000078_66"
"498","OKSB01000084_38"
"499","OKSC01000115_40"
"500","OKTF01000036_48"
"501","OKTS01000039_65"
"502","OKUM01000038_29"
"503","OKUZ01000024_24"
"504","OKXB01000124_4"
"505","OLFT01000150_81"
"506","OLFT01000163_19"
"507","OLFX01000215_31"
"508","OLFY01000196_21"
"509","OLFY01000217_44"
"510","OLFZ01000108_3"
"511","OLFZ01000118_25"
"512","OLFZ01000126_61"
"513","OLGB01000200_69"
"514","OLGF01000091_35"
"515","OLGH01000138_77"
"516","OLGJ01000028_12"
"517","OLGJ01000032_52"
"518","OLGL01000107_44"
"519","OLGL01000146_25"
"520","OLGN01000078_64"
"521","OLGO01000101_29"
"522","OLGY01000065_31"
"523","OLND01000117_6"
"524","OLNE01000081_13"
"525","OLNI01000077_28"
"526","OLNN01000114_57"
"527","OLNO01000079_87"
"528","OLNP01000086_74"
"529","OLNQ01000088_80"
"530","OLNV01000049_77"
"531","OLNW01000110_34"
"532","OLNW01000127_44"
"533","OLNY01000078_61"
"534","OLNZ01000083_64"
"535","OLOB01000056_22"
"536","OLOF01000050_60"
"537","OLOK01000029_37"
"538","OLOS01000113_51"
"539","OLOX01000059_45"
"540","OLOZ01000092_58"
"541","OLOZ01000093_2"
"542","OLOZ01000098_14"
"543","OLPB01000025_23"
"544","OLPB01000029_72"
"545","OLPH01000160_20"
"546","OLPO01000063_51"
"547","OLPO01000070_64"
"548","OLPO01000071_16"
"549","OLPR01000090_27"
"550","OLPS01000138_76"
"551","OLQE01000062_4"
"552","OLQG01000039_39"
"553","OLQG01000044_24"
"554","OLQJ01000062_18"
"555","OLQL01000074_49"
"556","OLQL01000089_23"
"557","OLQO01000079_71"
"558","OLQR01000043_16"
"559","OLQU01000060_2"
"560","OLRB01000064_13"
"561","OLRG01000090_75"
"562","OLRJ01000083_53"
"563","OLRO01000069_89"
"564","OLRU01000124_15"
"565","OLRV01000041_40"
"566","OLRW01000060_13"
"567","OLRW01000062_84"
"568","OLRZ01000056_57"
"569","OLSB01000088_21"
"570","OLSB01000098_13"
"571","OLSC01000126_76"
"572","OLSC01000138_81"
"573","OLSC01000143_6"
"574","OLSD01000074_59"
"575","OLSE01000140_81"
"576","OLSO01000074_8"
"577","OLSX01000045_80"
"578","OLTF01000001_33"
"579","OLVO01000096_6"
"580","OLVR01000187_69"
"581","OLVT01000100_47"
"582","OLWB01000065_81"
"583","OLWB01000066_2"
"584","OLWC01000027_20"
"585","OLWC01000038_67"
"586","OLWW01000036_48"
"587","OLWZ01000040_60"
"588","OLXC01000001_59"
"589","OLXK01000100_36"
"590","OLYB01000074_101"
"591","OLYR01000006_73"
"592","OLZJ01000019_87"
"593","OLZQ01000035_94"
"594","OLZQ01000040_32"
"595","OMAC01000093_13"
"596","OMBK01000035_24"
"597","OMBQ01000121_17"
"598","OMCC01000013_78"
"599","OMDC01000016_82"
"600","OMDD01000022_19"
"601","OMFN01000044_95"
"602","OMGI01000036_27"
"603","OMGY01000095_5"
"604","ONZZ01000054_3"
"605","OOAG01000060_79"
"606","OOAT01000079_70"
"607","OOAW01000092_81"
"608","OOBV01000062_55"
"609","OOCH01000086_64"
"610","OOCN01000077_59"
"611","OODC01000039_17"
"612","OODH01000049_48"
"613","OODJ01000103_9"
"614","OODL01000120_74"
"615","OODN01000068_15"
"616","OODS01000049_32"
"617","OQWI01000009_73"
"618","OWIQ01000031_16"
"619","PPYF01195288_16"
"620","PPYF01218884_11"
"621","QRFC01000100_77"
"622","QWCE01000387_9"
"623","QWCH01000269_88"
"624","QWCY01000236_74"
"625","QWCY01000259_79"
"626","Rampelli_10001_NODE_40_length_93067_cov_19.938696_9"
"627","Rampelli_10003_NODE_29_length_99875_cov_13.205430_10"
"628","Rampelli_10018_NODE_10_length_103127_cov_14.321717_81"
"629","Rampelli_20005_NODE_59_length_93393_cov_174.533984_68"
"630","Rampelli_Norman_04_NODE_65_length_102997_cov_76.233860_4"
"631","Sib1_ms_4_78"
"632","Sib1_ms_5_11"
"633","Sib2_ms_1_81"
"634","Sib2_ms_2_77"
"635","SRR4295172_ms_4_49"
"636","SRR4295172_ms_8_78"
"637","SRR4295173_s_14_85"
"638","SRR4295175_ms_5_1"
"639","SRS011084_NODE_220_length_95221_cov_30.7473_73"
"640","SRS011084_NODE_235_length_91607_cov_16.719_23"
"641","SRS011302_NODE_90_length_100096_cov_55.6308_7"
"642","SRS011586_NODE_119_length_103914_cov_1098.85_27"
"643","SRS013521_NODE_81_length_99733_cov_100.913_90"
"644","SRS014683_NODE_81_length_94199_cov_303.827_70"
"645","SRS015174_NODE_40_length_100491_cov_16.48_5"
"646","SRS015782_NODE_110_length_100384_cov_5.89172_79"
"647","SRS018739_NODE_72_length_100065_cov_89.1012_34"
"648","SRS019030_NODE_87_length_93563_cov_510.146_70"
"649","SRS019219_NODE_64_length_99553_cov_7.66325_62"
"650","SRS019381_NODE_114_length_100556_cov_1330.47_66"
"651","SRS019381_NODE_125_length_95381_cov_125.888_10"
"652","SRS019397_NODE_146_length_99324_cov_390.646_42"
"653","SRS019607_NODE_62_length_102298_cov_90.5358_83"
"654","SRS045739_NODE_78_length_98134_cov_152.188_16"
"655","SRS048164_NODE_142_length_95873_cov_10.9415_4"
"656","SRS050752_NODE_138_length_97080_cov_254.851_80"
"657","SRS052697_NODE_218_length_89222_cov_523.822_63"
"658","SRS053398_NODE_95_length_96600_cov_69.939_13"
"659","SRS054687_NODE_11_length_98845_cov_117.89_19"
"660","SRS057124_NODE_14_length_98976_cov_15.9969_77"
"661","SRS065278_NODE_70_length_98069_cov_34.3943_2"
"662","SRS065504_NODE_131_length_90103_cov_73.092_64"
"663","SRS105153_NODE_241_length_90160_cov_456.992_25"
"664","SRS143417_NODE_148_length_97094_cov_7.69295_12"
"665","SRS143417_NODE_177_length_89824_cov_37.2496_11"
"666","SRS143876_NODE_156_length_99405_cov_8.65265_15"
"667","SRS145497_NODE_97_length_94933_cov_72.765_66"
"668","SRS147436_NODE_29_length_99846_cov_83.8838_10"
"669","SRS147652_NODE_155_length_104176_cov_11.0954_24"
"670","UMIU01010253_76"
"671","Yinda_HP26_trimmed_NODE_1_length_94209_cov_109.230165_42"
"672","Zuo_N1_NODE_2_length_100997_cov_2297.472945_86"
"673","Zuo_N7_NODE_1_length_101263_cov_376.698393_55"
"674","QOR60033.1"
"675","QOR59970.1"
"676","QOR59838.1"
"677","QOR59808.1"
"678","QOR59736.1"
"679","QOR59616.1"
"680","QOR59454.1"
"681","QOR59434.1"
"682","QOR59262.1"
"683","QOR59220.1"
"684","QOR59052.1"
"685","QOR58959.1"
